"1384080975","363.65","295.00","294.00","60588.3858140900","267.21","295.00"
"1384081036","363.65","296.00","296.00","60617.1772791300","267.21","298.99"
"1384081097","363.65","296.01","296.01","60644.5577504400","267.21","298.96"
"1384081158","363.65","299.70","296.55","60714.7311048200","267.21","299.70"
"1384081219","363.65","296.55","296.55","60772.6836936700","267.21","299.13"
"1384081280","363.65","297.55","297.55","60777.0038117200","267.21","299.20"
"1384081341","363.65","300.00","300.00","60809.7536430000","267.21","302.00"
"1384081402","363.65","304.00","303.80","60895.4123864100","267.21","304.00"
"1384081463","363.65","303.80","302.00","60790.1919220700","267.21","303.80"
"1384081524","363.65","304.00","303.00","60857.8873882000","267.21","304.00"
"1384081585","363.65","305.18","305.18","60854.5253918200","267.21","306.00"
"1384081646","363.65","305.01","305.01","60963.1213193100","267.21","306.00"
"1384081707","363.65","306.00","306.00","61031.1704736500","267.21","306.80"
"1384081768","363.65","305.99","305.00","61077.8420997400","267.21","305.99"
"1384081829","363.65","305.98","302.10","61098.1949356200","267.21","305.41"
"1384081890","363.65","304.88","302.11","61111.3594048000","267.21","304.88"
"1384081951","363.65","302.12","302.11","61111.2380454300","267.21","303.56"
"1384082012","363.65","303.96","303.96","61079.9127314500","267.21","304.00"
"1384082073","363.65","303.96","303.96","61062.6227314500","267.21","304.62"
"1384082134","363.65","303.96","302.46","61063.2856597200","267.21","303.96"
"1384082195","363.65","303.96","304.00","61072.7946823800","267.21","304.62"
"1384082256","363.65","304.00","303.96","61069.8352041100","267.21","304.00"
"1384082317","363.65","304.00","303.96","61069.7348041100","267.21","304.00"
"1384082378","363.65","303.96","302.78","61070.8783544200","267.21","303.96"
"1384082439","363.65","303.96","302.78","61070.1393615500","267.21","303.95"
"1384082500","363.65","302.78","302.77","61070.2134387200","267.21","302.78"
"1384082561","363.65","302.50","302.50","60957.6685262600","267.21","303.26"
"1384082622","363.65","303.94","302.50","60945.6133891500","267.21","303.99"
"1384082683","363.65","304.70","303.99","60871.3697824700","267.21","304.70"
"1384082744","363.65","302.11","302.13","60853.4582058300","267.21","303.80"
"1384082805","363.65","305.00","305.00","60786.0034698600","267.21","305.02"
"1384082866","363.65","305.93","305.00","60597.5703466600","267.21","305.93"
"1384082927","363.65","305.90","305.90","60416.5547416000","267.21","305.96"
"1384082988","363.65","305.96","305.90","60420.1738956300","267.21","305.96"
"1384083049","363.65","305.90","305.00","60386.0693594100","267.21","305.96"
"1384083110","363.65","305.97","305.00","60395.5778244000","267.21","305.97"
"1384083171","363.65","305.00","303.51","60396.8382035400","267.21","305.00"
"1384083232","363.65","305.00","303.48","60396.6841935400","267.21","305.00"
"1384083293","363.65","303.48","303.26","60394.7801895200","267.21","303.48"
"1384083354","363.65","306.51","306.51","60442.1480108700","267.21","306.53"
"1384083415","363.65","306.53","306.51","60439.1310104800","267.21","306.53"
"1384083476","363.65","306.00","303.89","60432.3940957400","267.21","306.00"
"1384083537","363.65","306.00","303.92","60427.9315055100","267.21","306.00"
"1384083598","363.65","306.00","304.00","60315.5816322400","267.21","306.00"
"1384083659","363.65","303.96","303.96","60313.1109949300","267.21","306.00"
"1384083720","363.65","306.00","306.00","60310.0813583300","267.21","306.51"
"1384083781","363.65","306.00","305.00","60312.5810460800","267.21","306.00"
"1384083842","363.65","306.00","304.03","60321.6504960800","267.21","305.93"
